Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.05411
0.06700,-0.93703,-4.12863
0.11200,-1.84191,-9.14486
0.21200,-3.84750,-12.99316
0.31200,-5.84841,-16.35258
0.41200,-7.84903,-18.97566
0.51200,-9.84853,-21.28205
0.61200,-11.84822,-23.32868
0.71200,-13.84913,-25.24171
0.81200,-15.84872,-27.12042
0.91200,-17.84822,-28.93431
1.01200,-19.84922,-30.78141
1.11200,-21.84863,-32.61743
1.21200,-23.84813,-34.53701
1.31200,-25.84931,-36.55904
1.41200,-27.84853,-38.69438
1.51200,-29.84831,-40.89996
1.61200,-31.84913,-43.26004
1.71200,-33.84835,-45.75280
1.81200,-35.84841,-48.36405
1.91200,-37.84922,-51.15836
2.01200,-39.84863,-54.13400
2.11200,-41.84822,-57.47355
2.21200,-43.84894,-60.98755
2.31200,-45.84881,-64.76853
2.38800,-47.36860,-67.91779
